insertId,labels.build_id,labels.build_step,logName,receiveLocation,receiveTimestamp,resource.labels.location,resource.labels.reasoning_engine_id,resource.labels.resource_container,resource.type,severity,textPayload,timestamp
"'2f515f4f-3fa8-4243-a49c-fe4f40e0b21d-414","'2f515f4f-3fa8-4243-a49c-fe4f40e0b21d",Step #2,"'projects/vertex-ai-demo-468112/logs/aiplatform.googleapis.com%2Freasoning_engine_build",,"'2025-12-03T01:52:19.857804148Z",,4428986768309616640,869395420831,aiplatform.googleapis.com/ReasoningEngine,INFO,"'Step #2:   Downloading validators-0.34.0-py3-none-any.whl.metadata (3.8 kB)","'2025-12-03T01:52:19.098085554Z"
"'2f515f4f-3fa8-4243-a49c-fe4f40e0b21d-413","'2f515f4f-3fa8-4243-a49c-fe4f40e0b21d",Step #2,"'projects/vertex-ai-demo-468112/logs/aiplatform.googleapis.com%2Freasoning_engine_build",,"'2025-12-03T01:52:19.857804148Z",,4428986768309616640,869395420831,aiplatform.googleapis.com/ReasoningEngine,INFO,"'Step #2: Collecting validators<1.0.0,>=0.22.0 (from langchain-google-vertexai>=2.0.0->-r ./user_code/requirements.txt (line 4))","'2025-12-03T01:52:19.075602860Z"
"'2f515f4f-3fa8-4243-a49c-fe4f40e0b21d-412","'2f515f4f-3fa8-4243-a49c-fe4f40e0b21d",Step #2,"'projects/vertex-ai-demo-468112/logs/aiplatform.googleapis.com%2Freasoning_engine_build",,"'2025-12-03T01:52:19.857804148Z",,4428986768309616640,869395420831,aiplatform.googleapis.com/ReasoningEngine,INFO,"'Step #2:   Downloading certifi-2025.11.12-py3-none-any.whl.metadata (2.5 kB)","'2025-12-03T01:52:18.835439270Z"
"'2f515f4f-3fa8-4243-a49c-fe4f40e0b21d-411","'2f515f4f-3fa8-4243-a49c-fe4f40e0b21d",Step #2,"'projects/vertex-ai-demo-468112/logs/aiplatform.googleapis.com%2Freasoning_engine_build",,"'2025-12-03T01:52:18.862973097Z",,4428986768309616640,869395420831,aiplatform.googleapis.com/ReasoningEngine,INFO,"'Step #2: Collecting certifi (from httpx<1.0.0,>=0.28.1->google-genai<2.0.0,>=1.37.0->google-cloud-aiplatform>=1.112.0->google-cloud-aiplatform[agent_engines,langchain]>=1.112.0->-r ./user_code/requirements.txt (line 1))","'2025-12-03T01:52:18.809504301Z"
"'23e84c94-5822-4734-83f3-cf3a88c7fa46-450","'23e84c94-5822-4734-83f3-cf3a88c7fa46",Step #2,"'projects/vertex-ai-demo-468112/logs/aiplatform.googleapis.com%2Freasoning_engine_build",,"'2025-12-03T01:52:18.929277535Z",,7555610809611583488,869395420831,aiplatform.googleapis.com/ReasoningEngine,INFO,"'Step #2:   Downloading langsmith-0.4.1-py3-none-any.whl.metadata (15 kB)","'2025-12-03T01:52:18.284257231Z"
"'23e84c94-5822-4734-83f3-cf3a88c7fa46-449","'23e84c94-5822-4734-83f3-cf3a88c7fa46",Step #2,"'projects/vertex-ai-demo-468112/logs/aiplatform.googleapis.com%2Freasoning_engine_build",,"'2025-12-03T01:52:15.925101639Z",,7555610809611583488,869395420831,aiplatform.googleapis.com/ReasoningEngine,INFO,"'Step #2:   Downloading langsmith-0.4.2-py3-none-any.whl.metadata (15 kB)","'2025-12-03T01:52:15.439469644Z"
"'23e84c94-5822-4734-83f3-cf3a88c7fa46-448","'23e84c94-5822-4734-83f3-cf3a88c7fa46",Step #2,"'projects/vertex-ai-demo-468112/logs/aiplatform.googleapis.com%2Freasoning_engine_build",,"'2025-12-03T01:52:12.910459709Z",,7555610809611583488,869395420831,aiplatform.googleapis.com/ReasoningEngine,INFO,"'Step #2:   Downloading langsmith-0.4.3-py3-none-any.whl.metadata (15 kB)","'2025-12-03T01:52:12.624966318Z"
"'23e84c94-5822-4734-83f3-cf3a88c7fa46-447","'23e84c94-5822-4734-83f3-cf3a88c7fa46",Step #2,"'projects/vertex-ai-demo-468112/logs/aiplatform.googleapis.com%2Freasoning_engine_build",,"'2025-12-03T01:52:09.914105518Z",,7555610809611583488,869395420831,aiplatform.googleapis.com/ReasoningEngine,INFO,"'Step #2:   Downloading langsmith-0.4.4-py3-none-any.whl.metadata (15 kB)","'2025-12-03T01:52:09.815509640Z"
"'23e84c94-5822-4734-83f3-cf3a88c7fa46-446","'23e84c94-5822-4734-83f3-cf3a88c7fa46",Step #2,"'projects/vertex-ai-demo-468112/logs/aiplatform.googleapis.com%2Freasoning_engine_build",,"'2025-12-03T01:52:06.924200491Z",,7555610809611583488,869395420831,aiplatform.googleapis.com/ReasoningEngine,INFO,"'Step #2:   Downloading langsmith-0.4.5-py3-none-any.whl.metadata (15 kB)","'2025-12-03T01:52:06.863849113Z"
"'23e84c94-5822-4734-83f3-cf3a88c7fa46-445","'23e84c94-5822-4734-83f3-cf3a88c7fa46",Step #2,"'projects/vertex-ai-demo-468112/logs/aiplatform.googleapis.com%2Freasoning_engine_build",,"'2025-12-03T01:52:04.923836993Z",,7555610809611583488,869395420831,aiplatform.googleapis.com/ReasoningEngine,INFO,"'Step #2:   Downloading langsmith-0.4.6-py3-none-any.whl.metadata (15 kB)","'2025-12-03T01:52:03.985724185Z"
"'23e84c94-5822-4734-83f3-cf3a88c7fa46-444","'23e84c94-5822-4734-83f3-cf3a88c7fa46",Step #2,"'projects/vertex-ai-demo-468112/logs/aiplatform.googleapis.com%2Freasoning_engine_build",,"'2025-12-03T01:52:01.925273123Z",,7555610809611583488,869395420831,aiplatform.googleapis.com/ReasoningEngine,INFO,"'Step #2:   Downloading langsmith-0.4.7-py3-none-any.whl.metadata (15 kB)","'2025-12-03T01:52:01.065414103Z"
"'23e84c94-5822-4734-83f3-cf3a88c7fa46-443","'23e84c94-5822-4734-83f3-cf3a88c7fa46",Step #2,"'projects/vertex-ai-demo-468112/logs/aiplatform.googleapis.com%2Freasoning_engine_build",,"'2025-12-03T01:51:58.922609512Z",,7555610809611583488,869395420831,aiplatform.googleapis.com/ReasoningEngine,INFO,"'Step #2:   Downloading langsmith-0.4.8-py3-none-any.whl.metadata (15 kB)","'2025-12-03T01:51:58.149442577Z"
"'23e84c94-5822-4734-83f3-cf3a88c7fa46-442","'23e84c94-5822-4734-83f3-cf3a88c7fa46",Step #2,"'projects/vertex-ai-demo-468112/logs/aiplatform.googleapis.com%2Freasoning_engine_build",,"'2025-12-03T01:51:58.922609512Z",,7555610809611583488,869395420831,aiplatform.googleapis.com/ReasoningEngine,INFO,"'Step #2: Collecting langsmith<1.0.0,>=0.3.45 (from langchain-core<2.0.0,>=1.1.0->langchain>=0.3.0->-r ./user_code/requirements.txt (line 3))","'2025-12-03T01:51:58.132085237Z"
"'23e84c94-5822-4734-83f3-cf3a88c7fa46-441","'23e84c94-5822-4734-83f3-cf3a88c7fa46",Step #2,"'projects/vertex-ai-demo-468112/logs/aiplatform.googleapis.com%2Freasoning_engine_build",,"'2025-12-03T01:51:55.913128340Z",,7555610809611583488,869395420831,aiplatform.googleapis.com/ReasoningEngine,INFO,"'Step #2:   Downloading zstandard-0.23.0-cp311-cp311-manylinux_2_17_x86_64.manylinux2014_x86_64.whl.metadata (3.0 kB)","'2025-12-03T01:51:55.184940677Z"
"'23e84c94-5822-4734-83f3-cf3a88c7fa46-440","'23e84c94-5822-4734-83f3-cf3a88c7fa46",Step #2,"'projects/vertex-ai-demo-468112/logs/aiplatform.googleapis.com%2Freasoning_engine_build",,"'2025-12-03T01:51:55.913128340Z",,7555610809611583488,869395420831,aiplatform.googleapis.com/ReasoningEngine,INFO,"'Step #2: Collecting zstandard<0.24.0,>=0.23.0 (from langsmith<1.0.0,>=0.3.45->langchain-core<2.0.0,>=1.1.0->langchain>=0.3.0->-r ./user_code/requirements.txt (line 3))","'2025-12-03T01:51:55.169614914Z"
"'23e84c94-5822-4734-83f3-cf3a88c7fa46-439","'23e84c94-5822-4734-83f3-cf3a88c7fa46",Step #2,"'projects/vertex-ai-demo-468112/logs/aiplatform.googleapis.com%2Freasoning_engine_build",,"'2025-12-03T01:51:55.913128340Z",,7555610809611583488,869395420831,aiplatform.googleapis.com/ReasoningEngine,INFO,"'Step #2:   Downloading langsmith-0.4.9-py3-none-any.whl.metadata (15 kB)","'2025-12-03T01:51:55.133225942Z"
"'23e84c94-5822-4734-83f3-cf3a88c7fa46-438","'23e84c94-5822-4734-83f3-cf3a88c7fa46",Step #2,"'projects/vertex-ai-demo-468112/logs/aiplatform.googleapis.com%2Freasoning_engine_build",,"'2025-12-03T01:51:52.916645353Z",,7555610809611583488,869395420831,aiplatform.googleapis.com/ReasoningEngine,INFO,"'Step #2:   Downloading langsmith-0.4.10-py3-none-any.whl.metadata (14 kB)","'2025-12-03T01:51:52.089107666Z"
